Name,Cannes 2026,Checked,Director,Link,Place,Year
Journey to the West (宇宙探索编辑部),No,Yes,Kong Dashan,https://movie.douban.com/subject/34941536/,"Sichuan, China",2021
The Novelist's Film (소설가의 영화),No,Yes,Hong Sang-soo,https://movie.douban.com/subject/35743103/,"Seoul, South Korea",2022
The Wolf of Wall Street,No,Yes,Martin Scorsese,https://movie.douban.com/subject/2997076/,"New York, United States",2013
The Room Next Door,No,Yes,Pedro Almodóvar,https://movie.douban.com/subject/36687720/,"New York, United States",2024
Emilia Pérez,No,Yes,Jacques Audiard,https://movie.douban.com/subject/35900114/,"Mexico City, Mexico",2024
The Girl with the Needle (Pigen med nålen),No,Yes,Magnus von Horn,https://movie.douban.com/subject/35452678/,"Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark",2024
Beating Hearts (L'Amour ouf),No,Yes,Gilles Lellouche,https://movie.douban.com/subject/36372322/,"Normandy, Metropolitan France, France",2024
Anora,No,Yes,Sean Baker,https://movie.douban.com/subject/36195543/,"Brighton Beach, Brooklyn, Kings County, New York, United States",2024
The Beast (La bête),No,Yes,Bertrand Bonello,https://movie.douban.com/subject/35335895/,"Paris, Ile-de-France, Metropolitan France, France",2023
Limonov: The Ballad,No,Yes,Kirill Serebrennikov,https://movie.douban.com/subject/24888580/,"Moscow, Central Federal District, Russia",2024
Grand Tour,No,Yes,Miguel Gomes,https://movie.douban.com/subject/35689055/,"Yangon, 11000, Myanmar",2024
The Shrouds,No,Yes,David Cronenberg,https://movie.douban.com/subject/35898929/,"Toronto, Golden Horseshoe, Ontario, Canada",2024
American Honey,No,Yes,Andrea Arnold,https://movie.douban.com/subject/25884741/,"Oklahoma, United States",2016
The Ogre of Athens (Ο Δράκος),No,Yes,Nikos Koundouros,https://movie.douban.com/subject/3667227/,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece",1956
The Dreamers,No,Yes,Bernardo Bertolucci,https://movie.douban.com/subject/1291856/,"Paris, Ile-de-France, Metropolitan France, France",2003
Youth (La giovinezza),No,Yes,Paolo Sorrentino,https://movie.douban.com/subject/25766754/,"Swiss Alps, Ticino, Switzerland",2015
"Birds, Orphans and Fools (Vtáčkovia, siroty a blázni)",No,Yes,Juraj Jakubisko,https://movie.douban.com/subject/2052298/,"Bratislava, Region of Bratislava, Slovakia",1969
Stranger by the Lake (L'Inconnu du lac),No,Yes,Alain Guiraudie,https://movie.douban.com/subject/21339377/,"Lac de Sainte-Croix, Sainte-Croix-du-Verdon, Digne-les-Bains, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, Metropolitan France, 04500, France",2013
I Saw the TV Glow,No,Yes,Jane Schoenbrun,https://movie.douban.com/subject/35700145/,"New Jersey, United States",2024
The Apprentice,No,Yes,Ali Abbasi,https://movie.douban.com/subject/30220738/,"New York, United States",2024
The Tsugua Diaries (Diários de Otsoga),No,Yes,"Miguel Gomes, Maureen Fazendeiro",https://movie.douban.com/subject/35382942/,"Sintra, Lisbon, Portugal",2021
Eyes Wide Shut,No,Yes,Stanley Kubrick,https://movie.douban.com/subject/1300275/,"New York, United States",1999
The Battle of Algiers (La battaglia di Algeri),No,Yes,Gillo Pontecorvo,https://movie.douban.com/subject/1419005/,"Algiers, Sidi M'Hamed District, Algiers, 16007, Algeria",1966
Caught by the Tides (风流一代),No,Yes,Jia Zhangke,https://movie.douban.com/subject/36289263/,"Datong City, Shanxi, China",2024
The Substance,No,Yes,Coralie Fargeat,https://movie.douban.com/subject/35882838/,"Los Angeles, Los Angeles County, California, United States",2024
Bird,No,Yes,Andrea Arnold,https://movie.douban.com/subject/36415238/,"Kent, England, United Kingdom",2024
Petrov's Flu (Петровы в гриппе),No,Yes,Kirill Serebrennikov,https://movie.douban.com/subject/33447881/,"Yekaterinburg, Yekaterinburg Municipality, Sverdlovsk Oblast, Ural Federal District, Russia",2021
Carol,No,Yes,Todd Haynes,https://movie.douban.com/subject/10757577/,"Manhattan, New York County, New York, United States",2015
Au hasard Balthazar,No,Yes,Robert Bresson,https://movie.douban.com/subject/1401619/,"Old French Road, Countryside, Summit Township, Erie County, Pennsylvania, 16441, United States",1966
Poor Things,No,Yes,Yorgos Lanthimos,https://movie.douban.com/subject/35350109/,"Greater London, England, United Kingdom",2023
The Wild Goose Lake (南方车站的聚会),No,Yes,Diao Yinan,https://movie.douban.com/subject/27668250/,"Wuhan, Hubei, China",2019
Long Day's Journey Into Night (地球最后的夜晚),No,Yes,Bi Gan,https://movie.douban.com/subject/26633257/,"Kaili City, Qiandongnan, Guizhou, China",2018
Oppenheimer,No,Yes,Christopher Nolan,https://movie.douban.com/subject/35593344/,"Los Alamos, Los Alamos County, New Mexico, 87544, United States",2023
Exhuma (파묘),No,Yes,Jang Jae-hyun,https://movie.douban.com/subject/35490167/,"Gangwon State, South Korea",2024
Ivan's Childhood (Иваново детство),No,Yes,Andrei Tarkovsky,https://movie.douban.com/subject/1294421/,"Dnieper River, Ukraine",1962
Kaili Blues (路边野餐),No,Yes,Bi Gan,https://movie.douban.com/subject/26337866/,"Kaili City, Qiandongnan, Guizhou, China",2015
Spencer,No,Yes,Pablo Larraín,https://movie.douban.com/subject/35101435/,"Sandringham Estate, Lynn Road, Babingley, Sandringham, West Newton, King's Lynn and West Norfolk, Norfolk, England, PE35 6EZ, United Kingdom",2021
Killers of the Flower Moon,No,Yes,Martin Scorsese,https://movie.douban.com/subject/26745332/,"Osage County, Oklahoma, United States",2023
"Black Coal, Thin Ice (白日焰火)",No,Yes,Diao Yinan,https://movie.douban.com/subject/21941804/,"Harbin, Heilongjiang, China",2014
American Fiction,No,Yes,Cord Jefferson,https://movie.douban.com/subject/36212631/,"Boston, Suffolk County, Massachusetts, United States",2023
Monkey Man,No,Yes,Dev Patel,https://movie.douban.com/subject/30365461/,"Mumbai, Mumbai Suburban District, Maharashtra, 400051, India",2024
The Story of Southern Islet (南巫),No,Yes,Chong Keat Aun,https://movie.douban.com/subject/30359340/,"Kedah, Malaysia",2020
The Breaking Ice (燃冬),No,Yes,Anthony Chen,https://movie.douban.com/subject/35672437/,"Yanji City, Yanbian, Jilin, China",2023
The Rocky Horror Picture Show,No,Yes,Jim Sharman,https://movie.douban.com/subject/1292050/,"Berkshire, West Berkshire, England, United Kingdom",1975
"Synecdoche, New York",No,Yes,Charlie Kaufman,https://movie.douban.com/subject/2028819/,"City of Schenectady, Schenectady County, New York, United States",2008
Tiny Times 4.0 (小时代 4),No,Yes,Guo Jingming,https://movie.douban.com/subject/24847343/,"Shanghai, China",2015
Russian Ark (Русский ковчег),No,Yes,Aleksandr Sokurov,https://movie.douban.com/subject/1302279/,"Saint Petersburg, Northwestern Federal District, Russia",2002
Ali: Fear Eats the Soul (Angst essen Seele auf),No,Yes,Rainer Werner Fassbinder,https://movie.douban.com/subject/1294092/,"Munich, Bavaria, Germany",1974
Andrei Rublev,No,Yes,Andrei Tarkovsky,https://movie.douban.com/subject/1298248/,"Vladimir, городской округ Владимир, Vladimir Oblast, Central Federal District, 600000, Russia",1966
City of God (Cidade de Deus),No,Yes,Fernando Meirelles,https://movie.douban.com/subject/1292208/,"Rio de Janeiro, Southeast Region, Brazil",2002
M. Butterfly,No,Yes,David Cronenberg,https://movie.douban.com/subject/1293643/,"Beijing, China",1993
Dead Ringers,No,Yes,David Cronenberg,https://movie.douban.com/subject/1293297/,"Toronto, Golden Horseshoe, Ontario, Canada",1988
Through the Olive Trees (Zire darakhatan zeyton),No,Yes,Abbas Kiarostami,https://movie.douban.com/subject/1303465/,"Koker, شمام, دهستان رستم آباد جنوبی, بخش رودبار زیتون, Rudbar County, Gilan Province, Iran",1994
Manhattan,No,Yes,Woody Allen,https://movie.douban.com/subject/1294300/,"Manhattan, New York County, New York, United States",1979
Yanagawa (柳川),No,Yes,Zhang Lü,https://movie.douban.com/subject/34929859/,"Yanagawa, Fukuoka Prefecture, Japan",2021
Triangle of Sadness,No,Yes,Ruben Östlund,https://movie.douban.com/subject/27066152/,Mediterranean Sea,2022
Broker (브로커),No,Yes,Hirokazu Kore-eda,https://movie.douban.com/subject/35192111/,"Busan, South Korea",2022
Antichrist,No,Yes,Lars von Trier,https://movie.douban.com/subject/3040418/,"Washington, United States",2009
Return to Dust (隐入尘烟),No,Yes,Li Ruijun,https://movie.douban.com/subject/35131346/,"Gaotai County, Zhangye Prefecture, Gansu, 734300, China",2022
Boogie Nights,No,Yes,Paul Thomas Anderson,https://movie.douban.com/subject/1292965/,"San Fernando Valley, Los Angeles, Los Angeles County, California, 91329, United States",1997
Do the Right Thing,No,Yes,Spike Lee,https://movie.douban.com/subject/1293958/,"Bedford-Stuyvesant, Brooklyn, Kings County, New York, 11216, United States",1989
Irreversible: Straight Cut,No,Yes,Gaspar Noé,https://movie.douban.com/subject/35281708/,"Paris, Ile-de-France, Metropolitan France, France",2019
Typhoon Club (台風クラブ),No,Yes,Shinji Sōmai,https://movie.douban.com/subject/1296798/,"Shizuoka, Shizuoka Prefecture, 420-8602, Japan",1985
Naked Lunch,No,Yes,David Cronenberg,https://movie.douban.com/subject/1298596/,"Tangier, Pachalik de Tanger باشوية طنجة, Prefecture of Tangier - Assilah, Tangier-Tetouan-Al Hoceima, Morocco",1991
O Fantasma,No,Yes,João Pedro Rodrigues,https://movie.douban.com/subject/1465131/,"Lisbon, Portugal",2000
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)",No,Yes,Werner Herzog,https://movie.douban.com/subject/1306002/,"Amazon River, Fernando Lores, Province of Maynas, Loreto, Peru",1972
Virgin Blue (不要再见啊，鱼花塘),No,Yes,Liu Xiaoyun,https://movie.douban.com/subject/30434747/,"Nanjing City, Jiangsu, China",2021
Nightmare Awakens (梦魇醒来时),No,Yes,Wang Heze,https://movie.douban.com/subject/30400739/,China,2022
Love Streams,No,Yes,John Cassavetes,https://movie.douban.com/subject/1303532/,"Los Angeles, Los Angeles County, California, United States",1984
Where Is the Friend's Home? (خانه دوست کجاست؟),No,Yes,Abbas Kiarostami,https://movie.douban.com/subject/1301897/,"Koker, شمام, دهستان رستم آباد جنوبی, بخش رودبار زیتون, Rudbar County, Gilan Province, Iran",1987
After Yang,No,Yes,Kogonada,https://movie.douban.com/subject/30475837/,United States,2021
"You Shoot, I Shoot (買兣拍人)",No,Yes,Pang Ho-cheung,https://movie.douban.com/subject/1300616/,"Hong Kong, China",2001
eXistenZ,No,Yes,David Cronenberg,https://movie.douban.com/subject/1299213/,"Toronto, Golden Horseshoe, Ontario, Canada",1999
Love Is Colder Than Death (Liebe ist kälter als der Tod),No,Yes,Rainer Werner Fassbinder,https://movie.douban.com/subject/1307684/,"Munich, Bavaria, Germany",1969
Balloon (དབུགས་ལྒང།),No,Yes,Pema Tseden,https://movie.douban.com/subject/30204413/,"Yushu, Qinghai, China",2019
The Wild Boys (Les Garçons sauvages),No,Yes,Bertrand Mandico,https://movie.douban.com/subject/26740543/,"La Réunion, Réunion, France",2017
"Paris, 13th District (Les Olympiades)",No,Yes,Jacques Audiard,https://movie.douban.com/subject/35209755/,"13th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75013, France",2021
L'Avventura,No,Yes,Michelangelo Antonioni,https://movie.douban.com/subject/1389923/,"Aeolian Islands, Messina, Sicily, 98055, Italy",1960
Beau travail,No,Yes,Claire Denis,https://movie.douban.com/subject/1306791/,Djibouti,1999
The State of Things (Der Stand der Dinge),No,Yes,Wim Wenders,https://movie.douban.com/subject/1306625/,"Sintra, Lisbon, Portugal",1982
Winter Vacation (寒假),No,Yes,Li Hongqi,https://movie.douban.com/subject/5041554/,"Inner Mongolia, China",2010
P'tit Quinquin,No,Yes,Bruno Dumont,https://movie.douban.com/subject/25166744/,"Nord-Pas-de-Calais, Metropolitan France, France",2014
Lost Illusions (Illusions perdues),No,Yes,Xavier Giannoli,https://movie.douban.com/subject/34779516/,"Paris, Ile-de-France, Metropolitan France, France",2021
The Discreet Charm of the Bourgeoisie (Le Charme discret de la bourgeoisie),No,Yes,Luis Buñuel,https://movie.douban.com/subject/1303364/,"Paris, Ile-de-France, Metropolitan France, France",1972
Red Desert (Il deserto rosso),No,Yes,Michelangelo Antonioni,https://movie.douban.com/subject/1299261/,"Ravenna, Emilia-Romagna, Italy",1964
The Purple Rose of Cairo,No,Yes,Woody Allen,https://movie.douban.com/subject/1292994/,"New Jersey, United States",1985
The Big Lebowski,No,Yes,Coen Brothers,https://movie.douban.com/subject/1300044/,"Los Angeles, Los Angeles County, California, United States",1998
Ulysse,No,Yes,Agnès Varda,https://movie.douban.com/subject/1763691/,France,1982
Secrets Behind the Wall (壁の中の秘事),No,Yes,Kōji Wakamatsu,https://movie.douban.com/subject/1485905/,"Tokyo, Japan",1965
Die Tomorrow,No,Yes,Nawapol Thamrongrattanarit,https://movie.douban.com/subject/27157811/,"Bangkok, Thailand",2017
Timbuktu,No,Yes,Abderrahmane Sissako,https://movie.douban.com/subject/25803933/,"Timbuktu, Tombouctou Cercle, Timbuktu, Mali",2014
8½,No,Yes,Federico Fellini,https://movie.douban.com/subject/1361276/,"Rome, Roma Capitale, Lazio, Italy",1963
Passion,No,Yes,Ryūsuke Hamaguchi,https://movie.douban.com/subject/3233603/,"Tokyo, Japan",2008
The Goalkeeper's Fear of the Penalty (Die Angst des Tormanns beim Elfmeter),No,Yes,Wim Wenders,https://movie.douban.com/subject/1422273/,"Vienna, Austria",1972
The Depths,No,Yes,Hamaguchi Ryūsuke,https://movie.douban.com/subject/5382768/,"Seoul, South Korea",2010
Everything Went Fine (Tout s'est bien passé),No,Yes,François Ozon,https://movie.douban.com/subject/35190036/,"Paris, Ile-de-France, Metropolitan France, France",2021
A Rainy Day in New York,No,Yes,Woody Allen,https://movie.douban.com/subject/27089612/,"New York, United States",2019
Four Adventures of Reinette and Mirabelle (4 aventures de Reinette et Mirabelle),No,Yes,Éric Rohmer,https://movie.douban.com/subject/1421309/,"L’Ardèche à Paris, Voie B/4, Quartier Saint-Gervais, 4th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75004, France",1987
Wings of Desire (Der Himmel über Berlin),No,Yes,Wim Wenders,https://movie.douban.com/subject/1292504/,"Berlin, Germany",1987
Cyclo (Xích lô),No,Yes,Tran Anh Hung,https://movie.douban.com/subject/1294434/,"Ho Chi Minh City, Vietnam",1995
Grass Labyrinth (草迷宮),No,Yes,Shūji Terayama,https://movie.douban.com/subject/1401521/,Japan,1979
L'Argent,No,Yes,Robert Bresson,https://movie.douban.com/subject/1303536/,"Paris, Ile-de-France, Metropolitan France, France",1983
Ashes and Diamonds (Popiół i diament),No,Yes,Andrzej Wajda,https://movie.douban.com/subject/1303174/,Poland,1958
Like Someone in Love,No,Yes,Abbas Kiarostami,https://movie.douban.com/subject/5995338/,"Tokyo, Japan",2012
Cléo from 5 to 7 (Cléo de 5 à 7),No,Yes,Agnès Varda,https://movie.douban.com/subject/1294565/,"Paris, Ile-de-France, Metropolitan France, France",1962
Band of Outsiders (Bande à part),No,Yes,Jean-Luc Godard,https://movie.douban.com/subject/1401588/,"Paris, Ile-de-France, Metropolitan France, France",1964
Mauvais Sang,No,Yes,Leos Carax,https://movie.douban.com/subject/1301678/,"Paris, Ile-de-France, Metropolitan France, France",1986
"The Firemen's Ball (Hoří, má panenko)",No,Yes,Miloš Forman,https://movie.douban.com/subject/1303080/,"Czechoslovakia, Erinnerungsstraße, Mauthausen, Bezirk Perg, Upper Austria, 4310, Austria",1967
In Front of Your Face (당신얼굴 앞에서),No,Yes,Hong Sang-soo,https://movie.douban.com/subject/35465742/,"Seoul, South Korea",2021
Tokyo!,No,Yes,"Michel Gondry, Leos Carax, Bong Joon-ho",https://movie.douban.com/subject/2004482/,"Tokyo, Japan",2008
I Am Cuba (Я — Куба),No,Yes,Mikhail Kalatozov,https://movie.douban.com/subject/1432669/,"Havana, La Habana Vieja, Havana, 10000, Cuba",1964
AV (青春梦工场),No,Yes,Pang Ho-cheung,https://movie.douban.com/subject/1323749/,"Hong Kong, China",2005
Last Year at Marienbad (L'année dernière à Marienbad),No,Yes,Alain Resnais,https://movie.douban.com/subject/1400240/,"Mariánské Lázně, Cheb District, Karlovy Vary Region, Northwest, Czechia",1961
The Cranes Are Flying (Летят журавли),No,Yes,Mikhail Kalatozov,https://movie.douban.com/subject/1302077/,"Moscow, Central Federal District, Russia",1957
Breathless (À bout de souffle),No,Yes,Jean-Luc Godard,https://movie.douban.com/subject/1353745/,"Paris, Ile-de-France, Metropolitan France, France",1960
Playtime,No,Yes,Jacques Tati,https://movie.douban.com/subject/1303543/,"Paris, Ile-de-France, Metropolitan France, France",1967
Taste of Cherry (طعم گیلاس),No,Yes,Abbas Kiarostami,https://movie.douban.com/subject/1296177/,"Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran",1997
"Paris, Texas",No,Yes,Wim Wenders,https://movie.douban.com/subject/1302061/,"West Texas, San Juan South Estates Colonia, San Juan, Hidalgo County, Texas, 78589, United States",1984
Nymphomaniac: Vol. I,No,Yes,Lars von Trier,https://movie.douban.com/subject/6827727/,"England, United Kingdom",2013
Autumn Tale (Conte d'automne),No,Yes,Éric Rohmer,https://movie.douban.com/subject/1294140/,France,1998
Faces Places (Visages villages),No,Yes,"Agnès Varda, JR",https://movie.douban.com/subject/26764928/,"Old French Road, Countryside, Summit Township, Erie County, Pennsylvania, 16441, United States",2017
A Tale of Winter (Conte d'hiver),No,Yes,Éric Rohmer,https://movie.douban.com/subject/1293388/,"Nevers, Nièvre, Bourgogne – Franche-Comté, Metropolitan France, 58000, France",1992
Stalker (Сталкер),No,Yes,Andrei Tarkovsky,https://movie.douban.com/subject/1295656/,"Tallinn, Harju County, Estonia",1979
Mr. Bachmann and His Class (Herr Bachmann und seine Klasse),No,Yes,Maria Speth,https://movie.douban.com/subject/35360564/,"Stadtallendorf, Landkreis Marburg-Biedenkopf, Hesse, 35260, Germany",2021
Basic Instinct,No,Yes,Paul Verhoeven,https://movie.douban.com/subject/1291869/,"San Francisco, California, United States",1992
All About My Mother (Todo sobre mi madre),No,Yes,Pedro Almodóvar,https://movie.douban.com/subject/1291937/,"Madrid, Community of Madrid, Spain",1999
Blind Chance (Przypadek),No,Yes,Krzysztof Kieślowski,https://movie.douban.com/subject/1307200/,"Łódź, Łódź Voivodeship, Poland",1987
B for Busy (爱情神话),No,Yes,Shao Yihui,https://movie.douban.com/subject/35376457/,"Shanghai, China",2021
A Short Film About Love (Krótki film o miłości),No,Yes,Krzysztof Kieślowski,https://movie.douban.com/subject/1294570/,"Warsaw, Masovian Voivodeship, Poland",1988
Saturday Fiction (兰心大剧院),No,Yes,Lou Ye,https://movie.douban.com/subject/26954859/,"Shanghai, China",2019
Spring Fever (春风沉醉的夜晚),No,Yes,Lou Ye,https://movie.douban.com/subject/3690289/,"Nanjing City, Jiangsu, China",2009
Love Exposure (愛のむきだし),No,Yes,Sion Sono,https://movie.douban.com/subject/2361266/,"Tokyo, Japan",2008
Crash,No,Yes,David Cronenberg,https://movie.douban.com/subject/1292682/,"Toronto, Golden Horseshoe, Ontario, Canada",1996
Close-Up (کلوزآپ),No,Yes,Abbas Kiarostami,https://movie.douban.com/subject/1303521/,"Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran",1990
Eternity and a Day (Μία αιωνιότητα και μία μέρα),No,Yes,Theo Angelopoulos,https://movie.douban.com/subject/1293455/,"Thessaloniki, Thessaloniki Municipal Unit, Municipality of Thessaloniki, Thessaloniki Regional Unit, Central Macedonia, Macedonia and Thrace, 540 12, Greece",1998
Parallel Mothers (Madres paralelas),No,Yes,Pedro Almodóvar,https://movie.douban.com/subject/35123985/,"Madrid, Community of Madrid, Spain",2021
Melancholia,No,Yes,Lars von Trier,https://movie.douban.com/subject/4086853/,Sweden,2011
Tie Me Up! Tie Me Down! (¡Átame!),No,Yes,Pedro Almodóvar,https://movie.douban.com/subject/1294315/,"Madrid, Community of Madrid, Spain",1989
Ulysses' Gaze (Το βλέμμα του Οδυσσέα),No,Yes,Theo Angelopoulos,https://movie.douban.com/subject/1294573/,"Balkans, Bulgaria",1995
Solaris (Солярис),No,Yes,Andrei Tarkovsky,https://movie.douban.com/subject/1300977/,Russia,1972
Love After Love (第一炉香),No,Yes,Ann Hui,https://movie.douban.com/subject/27102476/,"Hong Kong, China",2020
Leto (Лето),No,Yes,Kirill Serebrennikov,https://movie.douban.com/subject/30162520/,"USSR, 1/2/5, Казанская улица, Kirovsky District, Astrakhan, Astrakhan Oblast, Southern Federal District, 414024, Russia",2018
Peppermint Candy (박하사탕),No,Yes,Lee Chang-dong,https://movie.douban.com/subject/1303145/,South Korea,1999
Survive Style 5+,No,Yes,Gen Sekiguchi,https://movie.douban.com/subject/1308841/,"Tokyo, Japan",2004
Annie Hall,No,Yes,Woody Allen,https://movie.douban.com/subject/1296987/,"New York, United States",1977
Bad Luck Banging or Loony Porn (Babardeală cu bucluc sau porno balamuc),No,Yes,Radu Jude,https://movie.douban.com/subject/35242942/,"Bucharest, Romania",2021
Suzhou River,No,Yes,Lou Ye,https://movie.douban.com/subject/1299661/,"Shanghai, China",2000
Pierrot le Fou,No,Yes,Jean-Luc Godard,https://movie.douban.com/subject/1292533/,"French Riviera, Provence-Alpes-Côte d'Azur, Metropolitan France, France",1965
Titane,No,Yes,Julia Ducournau,https://movie.douban.com/subject/34820925/,France,2021
Midsommar,No,Yes,Ari Aster,https://movie.douban.com/subject/30288638/,"Province of Hälsingland, Sweden",2019
Yi Yi,No,Yes,Edward Yang,https://movie.douban.com/subject/1292434/,"Taipei, Taiwan",2000
A Tale of Springtime (Conte de printemps),No,Yes,Éric Rohmer,https://movie.douban.com/subject/1293632/,"Paris, Ile-de-France, Metropolitan France, France",1990
A Summer's Tale (Conte d'été),No,Yes,Éric Rohmer,https://movie.douban.com/subject/1302675/,"Dinard, Saint-Malo, Ille-et-Vilaine, Brittany, Metropolitan France, 35800, France",1996
Bitter Moon,No,Yes,Roman Polanski,https://movie.douban.com/subject/1301582/,"Mediterranean Bali Cruise Training, 9A, Muhammad Yamin, Sumerta Kelod, East Denpasar, Denpasar, Bali, Lesser Sunda Islands, 80235, Indonesia",1992
No. 7 Cherry Lane (繼園臺七號),No,Yes,Yonfan,https://movie.douban.com/subject/34606671/,"Hong Kong, China",2019
Barton Fink,No,Yes,Coen Brothers,https://movie.douban.com/subject/1298043/,"Hollywood, Los Angeles, Los Angeles County, California, 90028, United States",1991
The Act of Killing,No,Yes,Joshua Oppenheimer,https://movie.douban.com/subject/11538029/,"City of Medan, North Sumatra, Sumatra, Indonesia",2012
Tokyo Story (東京物語),No,Yes,Yasujirō Ozu,https://movie.douban.com/subject/1291568/,Japan,1953
Amour,No,Yes,Michael Haneke,https://movie.douban.com/subject/4798707/,"Paris, Ile-de-France, Metropolitan France, France",2012
Uncle Boonmee Who Can Recall His Past Lives (ลุงบุญมีระลึกชาติ),No,Yes,Apichatpong Weerasethakul,https://movie.douban.com/subject/4280102/,"Nakhon Phanom Province, Thailand",2010
Certified Copy (Copie conforme),No,Yes,Abbas Kiarostami,https://movie.douban.com/subject/2973543/,"Tuscany, Italy",2010
A Serious Man,No,Yes,Coen Brothers,https://movie.douban.com/subject/3135483/,"Minneapolis, Hennepin County, Minnesota, United States",2009
A Brighter Summer Day (牲嶺街少年殺人事件),No,Yes,Edward Yang,https://movie.douban.com/subject/1292329/,"Taipei, Taiwan",1991
Tie Xi Qu: West of the Tracks — Rust,No,Yes,Wang Bing,https://movie.douban.com/subject/1309215/,"Shenyang City, Liaoning, China",2003
Caché,No,Yes,Michael Haneke,https://movie.douban.com/subject/1438066/,"Paris, Ile-de-France, Metropolitan France, France",2005
Blade Runner 2049,No,Yes,Denis Villeneuve,https://movie.douban.com/subject/10512661/,"Los Angeles, Los Angeles County, California, United States",2017
Dogville,No,Yes,Lars von Trier,https://movie.douban.com/subject/1298759/,"Rocky Mountains, Teton County, Wyoming, United States",2003
Talk to Her (Hable con ella),No,Yes,Pedro Almodóvar,https://movie.douban.com/subject/1292211/,"Madrid, Community of Madrid, Spain",2002
Inland Empire,No,Yes,David Lynch,https://movie.douban.com/subject/1438734/,"Los Angeles, Los Angeles County, California, United States",2006
PTU,No,Yes,Johnnie To,https://movie.douban.com/subject/1302434/,"Hong Kong, China",2003
Detachment,No,Yes,Tony Kaye,https://movie.douban.com/subject/5322596/,"New York, United States",2011
Happy Hour (ハッピーアワー),No,Yes,Ryūsuke Hamaguchi,https://movie.douban.com/subject/26550176/,"Kobe, Hyogo Prefecture, Japan",2015
The Thin Red Line,No,Yes,Terrence Malick,https://movie.douban.com/subject/1292781/,"Guadalcanal Island, Guadalcanal, Solomon Islands",1998
Inherent Vice,No,Yes,Paul Thomas Anderson,https://movie.douban.com/subject/5432221/,"Los Angeles, Los Angeles County, California, United States",2014
Arrival,No,Yes,Denis Villeneuve,https://movie.douban.com/subject/21324900/,"Montana, United States",2016
Happy Together (春光乍洩),No,Yes,Wong Kar-wai,https://movie.douban.com/subject/1292679/,"Buenos Aires, Comuna 1, Autonomous City of Buenos Aires, Argentina",1997
Conspirators of Pleasure (Spiklenci slasti),No,Yes,Jan Švankmajer,https://movie.douban.com/subject/1308450/,"Prague, Czechia",1996
Burning (버닝),No,Yes,Lee Chang-dong,https://movie.douban.com/subject/26842702/,"Paju-si, Gyeonggi, South Korea",2018
Wife of a Spy (スパイの妻),No,Yes,Kiyoshi Kurosawa,https://movie.douban.com/subject/34852385/,"Kobe, Hyogo Prefecture, Japan",2020
The Reunions (吉祥如意),No,Yes,Dong Chengpeng,https://movie.douban.com/subject/35068230/,"Jilin, China",2020
Blue Velvet,No,Yes,David Lynch,https://movie.douban.com/subject/1298697/,"Wilmington, New Hanover County, North Carolina, United States",1986
Heaven Is Still Far Away (天国はまだ遠い),No,Yes,Ryūsuke Hamaguchi,https://movie.douban.com/subject/26907367/,"Tokyo, Japan",2016
Holy Motors,No,Yes,Leos Carax,https://movie.douban.com/subject/6875451/,"Paris, Ile-de-France, Metropolitan France, France",2012
On the Beach at Night Alone (밤의 해변에서 혼자),No,Yes,Hong Sang-soo,https://movie.douban.com/subject/26718282/,"Gangneung-si, Gangwon State, South Korea",2017
Venus in Fur (La Vénus à la fourrure),No,Yes,Roman Polanski,https://movie.douban.com/subject/19955828/,"Paris, Ile-de-France, Metropolitan France, France",2013
The Great Buddha+ (大佛普拉斯),No,Yes,Huang Hsin-yao,https://movie.douban.com/subject/27059130/,"Chiayi County, Taiwan",2017
Suburban Birds (郊区的鸟),No,Yes,Qiu Sheng,https://movie.douban.com/subject/26935281/,"Hangzhou City, Zhejiang, China",2018
Inside Llewyn Davis,No,Yes,Coen Brothers,https://movie.douban.com/subject/6887029/,"Greenwich Village, 7th Avenue South, West Village, Manhattan, New York County, New York, 10014, United States",2013
In the Heat of the Sun (阳光灿烂的日子),No,Yes,Jiang Wen,https://movie.douban.com/subject/1291875/,"Beijing, China",1994
Cure (CURE キュア),No,Yes,Kiyoshi Kurosawa,https://movie.douban.com/subject/1304665/,"Tokyo, Japan",1997
Asako I & II (寝ても覚めても),No,Yes,Ryūsuke Hamaguchi,https://movie.douban.com/subject/27037053/,"Osaka, Wakamiyacho, Ichigaya Sadobaracho, Shinjuku, Tokyo, 160-8484, Japan",2018
Hiroshima mon amour,No,Yes,Alain Resnais,https://movie.douban.com/subject/1302050/,"Hiroshima, Hiroshima Prefecture, Japan",1959
Lost Highway,No,Yes,David Lynch,https://movie.douban.com/subject/1303459/,"Los Angeles, Los Angeles County, California, United States",1997
Mirror (Зеркало),No,Yes,Andrei Tarkovsky,https://movie.douban.com/subject/1299248/,"Yuryevets, Yuryevetsky District, Ivanovo Oblast, Central Federal District, Russia",1975
